Frame	Temps(s)	X(m)	Y(m)	Z(m)
209	1776691749.557	-0.2353	0.2213	2.5457
210	1776691749.588	-0.2357	0.2209	2.546
211	1776691749.609	-0.234	0.2208	2.5464
212	1776691749.64	-0.2351	0.2209	2.5478
213	1776691749.671	-0.2357	0.2211	2.5479
214	1776691749.734	-0.2354	0.222	2.5471
215	1776691749.787	-0.2364	0.2217	2.545
216	1776691749.812	-0.2364	0.2211	2.5465
217	1776691749.844	-0.235	0.2217	2.544
218	1776691749.866	-0.236	0.2211	2.5472
219	1776691749.891	-0.2337	0.2218	2.5451
220	1776691749.933	-0.2343	0.2212	2.5458
221	1776691749.955	-0.2343	0.2217	2.5437
222	1776691749.995	-0.2356	0.221	2.5465
223	1776691750.018	-0.2357	0.2214	2.5451
224	1776691750.066	-0.2353	0.2213	2.5462
225	1776691750.097	-0.2359	0.2213	2.545
226	1776691750.113	-0.2355	0.2222	2.5471
227	1776691750.167	-0.2349	0.2218	2.5454
228	1776691750.192	-0.2347	0.2208	2.5462
229	1776691750.224	-0.2342	0.2206	2.5475
230	1776691750.287	-0.2358	0.2213	2.5465
231	1776691750.335	-0.2368	0.2214	2.5472
232	1776691750.367	-0.2378	0.221	2.5501
233	1776691750.402	-0.2365	0.2219	2.5463
234	1776691750.44	-0.2359	0.2212	2.5466
235	1776691750.475	-0.2358	0.2211	2.5446
236	1776691750.513	-0.237	0.2213	2.5447
237	1776691750.541	-0.2349	0.2214	2.5448
238	1776691750.593	-0.2355	0.2216	2.5434
239	1776691750.651	-0.2365	0.2214	2.5438
240	1776691750.683	-0.234	0.2207	2.5483
241	1776691750.726	-0.2371	0.2209	2.5428
242	1776691750.75	-0.2342	0.2215	2.546
243	1776691750.795	-0.236	0.2211	2.5443
244	1776691750.83	-0.2348	0.2206	2.5474
245	1776691750.867	-0.2342	0.2207	2.5445
246	1776691750.911	-0.2348	0.2207	2.5443
247	1776691750.953	-0.2349	0.2206	2.5463
248	1776691750.991	-0.2364	0.221	2.5442
249	1776691751.036	-0.237	0.2209	2.55
250	1776691751.083	-0.2361	0.2205	2.5473
251	1776691751.114	-0.2354	0.2198	2.5466
252	1776691751.146	-0.2343	0.2199	2.5454
253	1776691751.209	-0.2357	0.2212	2.5468
254	1776691751.241	-0.2362	0.2215	2.5463
255	1776691751.288	-0.2343	0.2213	2.5449
256	1776691751.319	-0.2361	0.2209	2.5462
257	1776691751.367	-0.2377	0.2212	2.547
258	1776691751.41	-0.2374	0.222	2.5447
259	1776691751.447	-0.2376	0.2212	2.5435
260	1776691751.487	-0.2387	0.2221	2.5422
261	1776691751.54	-0.2414	0.222	2.5384
262	1776691751.572	-0.2416	0.2231	2.532
263	1776691751.62	-0.2414	0.2234	2.5309
264	1776691751.652	-0.2409	0.2234	2.5299
265	1776691751.7	-0.24	0.2248	2.5225
266	1776691751.735	-0.2394	0.2247	2.5175
267	1776691751.797	-0.2383	0.2239	2.5212
268	1776691751.842	-0.2373	0.2249	2.5197
269	1776691751.873	-0.2388	0.2236	2.5202
270	1776691751.905	-0.239	0.2237	2.5163
271	1776691751.937	-0.2361	0.2245	2.5138
272	1776691751.986	-0.2367	0.2246	2.5112
273	1776691752.031	-0.2391	0.2252	2.5075
274	1776691752.067	-0.2364	0.2252	2.5075
275	1776691752.11	-0.2372	0.2255	2.5044
276	1776691752.142	-0.2405	0.2259	2.4981
277	1776691752.173	-0.238	0.2255	2.4988
278	1776691752.205	-0.2401	0.2241	2.4955
279	1776691752.237	-0.2408	0.2243	2.4898
280	1776691752.268	-0.2379	0.2235	2.4883
281	1776691752.312	-0.2381	0.2237	2.4899
282	1776691752.347	-0.2371	0.2236	2.4844
283	1776691752.384	-0.2384	0.2243	2.4784
284	1776691752.41	-0.2403	0.2244	2.4732
285	1776691752.457	-0.2397	0.2244	2.4711
286	1776691752.497	-0.24	0.2239	2.4669
287	1776691752.536	-0.2408	0.2248	2.4626
288	1776691752.581	-0.2401	0.2244	2.4647
289	1776691752.614	-0.2416	0.2232	2.4572
290	1776691752.646	-0.2406	0.2221	2.4568
291	1776691752.688	-0.2411	0.223	2.4474
292	1776691752.741	-0.2402	0.2231	2.442
293	1776691752.774	-0.2418	0.2236	2.4449
294	1776691752.82	-0.242	0.2239	2.4362
295	1776691752.858	-0.2423	0.2236	2.427
296	1776691752.89	-0.242	0.2232	2.4243
297	1776691752.916	-0.2423	0.2233	2.4214
298	1776691752.947	-0.2425	0.2236	2.418
299	1776691752.979	-0.2429	0.2254	2.4137
300	1776691753.027	-0.2414	0.2256	2.4086
301	1776691753.069	-0.2425	0.2249	2.4057
302	1776691753.099	-0.2423	0.2242	2.4107
303	1776691753.137	-0.2426	0.2249	2.4019
304	1776691753.169	-0.2417	0.225	2.3962
305	1776691753.2	-0.2417	0.2237	2.3959
306	1776691753.232	-0.2443	0.2237	2.3958
307	1776691753.28	-0.2427	0.2232	2.3887
308	1776691753.311	-0.2442	0.2239	2.388
309	1776691753.343	-0.2431	0.2235	2.3897
310	1776691753.375	-0.2443	0.2235	2.3868
311	1776691753.423	-0.2456	0.2239	2.382
312	1776691753.454	-0.2436	0.2235	2.3824
313	1776691753.502	-0.2433	0.2221	2.3808
314	1776691753.533	-0.2439	0.2223	2.3758
315	1776691753.581	-0.2428	0.2234	2.362
316	1776691753.612	-0.2438	0.2219	2.369
317	1776691753.669	-0.2438	0.2224	2.3585
318	1776691753.703	-0.2418	0.2229	2.354
319	1776691753.735	-0.2425	0.2224	2.3564
320	1776691753.767	-0.2433	0.2227	2.3525
321	1776691753.788	-0.2418	0.2224	2.3506
322	1776691753.82	-0.2431	0.2232	2.3456
323	1776691753.851	-0.2425	0.2226	2.3472
324	1776691753.898	-0.2422	0.2226	2.3482
325	1776691753.945	-0.2447	0.2225	2.3411
326	1776691753.993	-0.2439	0.2223	2.3416
327	1776691754.04	-0.2451	0.2228	2.3379
328	1776691754.072	-0.2447	0.2231	2.3342
329	1776691754.108	-0.2455	0.2237	2.3322
330	1776691754.15	-0.2461	0.2234	2.3377
331	1776691754.182	-0.2456	0.2236	2.3322
332	1776691754.214	-0.2459	0.2239	2.332
333	1776691754.245	-0.2455	0.2237	2.3299
334	1776691754.299	-0.2473	0.2244	2.327
335	1776691754.339	-0.2459	0.2238	2.3251
336	1776691754.37	-0.2456	0.2234	2.3263
337	1776691754.426	-0.2492	0.2229	2.3221
338	1776691754.45	-0.2495	0.2233	2.3247
339	1776691754.49	-0.2486	0.2231	2.319
340	1776691754.529	-0.2484	0.2232	2.3168
341	1776691754.565	-0.2499	0.2228	2.3167
342	1776691754.592	-0.2499	0.224	2.3113
343	1776691754.656	-0.2496	0.2243	2.308
344	1776691754.699	-0.2496	0.224	2.307
345	1776691754.734	-0.247	0.2236	2.3068
346	1776691754.766	-0.2476	0.2235	2.31
347	1776691754.798	-0.2473	0.2236	2.3052
348	1776691754.829	-0.2483	0.2233	2.3024
349	1776691754.871	-0.2475	0.2235	2.3065
350	1776691754.903	-0.2494	0.2232	2.3022
351	1776691754.935	-0.2496	0.2228	2.2995
352	1776691754.971	-0.2498	0.2227	2.2981
353	1776691755.003	-0.2484	0.222	2.2961
354	1776691755.05	-0.2487	0.2218	2.2946
355	1776691755.081	-0.2496	0.2218	2.2938
356	1776691755.113	-0.2483	0.2222	2.29
357	1776691755.144	-0.2487	0.2222	2.2858
358	1776691755.176	-0.2501	0.2222	2.2851
359	1776691755.223	-0.2494	0.222	2.283
360	1776691755.255	-0.2476	0.2228	2.2772
361	1776691755.287	-0.2472	0.2225	2.2742
362	1776691755.318	-0.2454	0.2226	2.2724
363	1776691755.35	-0.2455	0.222	2.2721
364	1776691755.381	-0.2463	0.2225	2.2667
365	1776691755.413	-0.2466	0.2217	2.2637
366	1776691755.476	-0.2484	0.2225	2.2581
367	1776691755.507	-0.2492	0.2221	2.2551
368	1776691755.539	-0.2519	0.2225	2.2515
369	1776691755.602	-0.2506	0.2223	2.2505
370	1776691755.634	-0.2545	0.2227	2.2443
371	1776691755.672	-0.2546	0.2232	2.235
372	1776691755.707	-0.2561	0.2238	2.234
373	1776691755.744	-0.2561	0.224	2.2252
374	1776691755.776	-0.2556	0.2236	2.2192
375	1776691755.824	-0.2576	0.2237	2.2213
376	1776691755.871	-0.2571	0.224	2.2145
377	1776691755.903	-0.2576	0.2237	2.2165
378	1776691755.934	-0.2569	0.2239	2.2096
379	1776691755.972	-0.2567	0.2237	2.2084
380	1776691756.013	-0.2569	0.224	2.2067
381	1776691756.045	-0.2567	0.2237	2.2029
382	1776691756.076	-0.2562	0.2234	2.1994
383	1776691756.108	-0.2556	0.2235	2.1951
384	1776691756.14	-0.2571	0.2241	2.1921
385	1776691756.188	-0.2571	0.2238	2.1883
386	1776691756.22	-0.2564	0.2234	2.1856
387	1776691756.251	-0.2564	0.2232	2.1867
388	1776691756.283	-0.2562	0.2236	2.1821
389	1776691756.329	-0.2565	0.2239	2.1784
390	1776691756.362	-0.2562	0.2238	2.1745
391	1776691756.394	-0.257	0.2241	2.1708
392	1776691756.425	-0.2562	0.2231	2.1681
393	1776691756.473	-0.2563	0.2229	2.1662
394	1776691756.505	-0.2549	0.2224	2.167
395	1776691756.537	-0.2536	0.2222	2.1604
396	1776691756.573	-0.2529	0.222	2.1576
397	1776691756.6	-0.2545	0.2225	2.1567
398	1776691756.632	-0.2536	0.2224	2.154
399	1776691756.673	-0.2536	0.2226	2.147
400	1776691756.711	-0.2542	0.2228	2.1446
401	1776691756.743	-0.2558	0.223	2.1413
402	1776691756.774	-0.2542	0.2226	2.1386
403	1776691756.805	-0.255	0.2225	2.1387
404	1776691756.837	-0.2567	0.2233	2.1358
405	1776691756.886	-0.2574	0.224	2.1302
406	1776691756.916	-0.2571	0.2242	2.1249
407	1776691756.947	-0.2559	0.2237	2.1211
408	1776691756.979	-0.2574	0.2237	2.1222
409	1776691757.026	-0.2593	0.2234	2.1149
410	1776691757.061	-0.2586	0.2237	2.1106
411	1776691757.094	-0.2574	0.2234	2.1087
412	1776691757.136	-0.2593	0.224	2.1041
413	1776691757.173	-0.2608	0.224	2.1001
414	1776691757.215	-0.2607	0.2238	2.1006
415	1776691757.247	-0.2579	0.2233	2.0924
416	1776691757.279	-0.2577	0.2231	2.0898
417	1776691757.31	-0.2582	0.2214	2.0881
418	1776691757.342	-0.2575	0.2214	2.0827
419	1776691757.39	-0.257	0.222	2.077
420	1776691757.432	-0.2566	0.2223	2.0754
421	1776691757.496	-0.2566	0.2215	2.0725
422	1776691757.532	-0.2574	0.2211	2.0693
423	1776691757.58	-0.2567	0.2203	2.0686
424	1776691757.627	-0.2574	0.2207	2.061
425	1776691757.683	-0.2566	0.2201	2.0587
426	1776691757.722	-0.2563	0.2208	2.0481
427	1776691757.765	-0.2544	0.2218	2.0426
428	1776691757.801	-0.2538	0.2225	2.0376
429	1776691757.832	-0.2557	0.2218	2.034
430	1776691757.892	-0.2552	0.2216	2.0291
431	1776691757.929	-0.2561	0.2222	2.0232
432	1776691757.961	-0.2572	0.2224	2.0169
433	1776691758.008	-0.2569	0.2226	2.0129
434	1776691758.04	-0.2588	0.2234	2.0087
435	1776691758.101	-0.2594	0.223	2.0027
436	1776691758.136	-0.2595	0.2226	1.9987
437	1776691758.175	-0.2605	0.2221	1.9952
438	1776691758.216	-0.2588	0.2216	1.9897
439	1776691758.263	-0.2599	0.2213	1.9824
440	1776691758.295	-0.2579	0.2214	1.9813
441	1776691758.342	-0.2584	0.2215	1.9755
442	1776691758.375	-0.2615	0.2212	1.9697
443	1776691758.421	-0.2624	0.2206	1.9655
444	1776691758.453	-0.2618	0.2212	1.9568
445	1776691758.502	-0.2619	0.2204	1.9516
446	1776691758.546	-0.2627	0.2207	1.9464
447	1776691758.58	-0.2628	0.2201	1.942
448	1776691758.63	-0.2616	0.2202	1.9413
449	1776691758.668	-0.2629	0.221	1.9374
450	1776691758.704	-0.264	0.2213	1.9339
451	1776691758.738	-0.2618	0.2216	1.9287
452	1776691758.776	-0.2648	0.2216	1.924
453	1776691758.801	-0.265	0.222	1.9185
454	1776691758.852	-0.2634	0.2211	1.9154
455	1776691758.896	-0.262	0.2213	1.9101
456	1776691758.927	-0.2627	0.2216	1.9083
457	1776691758.959	-0.2641	0.2207	1.9022
458	1776691758.991	-0.2661	0.2204	1.8975
459	1776691759.023	-0.2654	0.2196	1.8949
460	1776691759.055	-0.2663	0.2198	1.8894
461	1776691759.086	-0.2669	0.2203	1.8869
462	1776691759.118	-0.268	0.2218	1.8818
463	1776691759.156	-0.2693	0.2215	1.8753
464	1776691759.188	-0.2707	0.2211	1.8728
465	1776691759.22	-0.2697	0.2211	1.8679
466	1776691759.261	-0.2722	0.2221	1.8647
467	1776691759.299	-0.2724	0.2213	1.862
468	1776691759.332	-0.2731	0.2212	1.8578
469	1776691759.356	-0.2712	0.2211	1.8526
470	1776691759.388	-0.2703	0.2204	1.8472
471	1776691759.427	-0.2723	0.2214	1.8433
472	1776691759.46	-0.2715	0.2208	1.84
473	1776691759.491	-0.2716	0.2211	1.8375
474	1776691759.523	-0.272	0.2209	1.8346
475	1776691759.547	-0.272	0.2215	1.8258
476	1776691759.588	-0.2728	0.2215	1.8204
477	1776691759.62	-0.2734	0.2208	1.8152
478	1776691759.652	-0.2726	0.221	1.8101
479	1776691759.684	-0.2728	0.2215	1.8024
480	1776691759.706	-0.2732	0.2214	1.7971
481	1776691759.738	-0.2739	0.2216	1.796
482	1776691759.777	-0.2739	0.2207	1.7966
483	1776691759.802	-0.275	0.22	1.793
484	1776691759.848	-0.2769	0.221	1.7896
485	1776691759.877	-0.2758	0.2204	1.7858
486	1776691759.896	-0.2743	0.2203	1.7823
487	1776691759.928	-0.2724	0.217	1.776
488	1776691759.959	-0.2718	0.2174	1.7725
489	1776691760.007	-0.2739	0.2172	1.7685
490	1776691760.038	-0.2751	0.2184	1.7679
491	1776691760.077	-0.282	0.2208	1.7634
492	1776691760.102	-0.2816	0.2213	1.7613
493	1776691760.148	-0.2796	0.2201	1.7534
494	1776691760.18	-0.2798	0.22	1.75
495	1776691760.211	-0.2787	0.2193	1.749
496	1776691760.243	-0.2711	0.2178	1.7423
497	1776691760.277	-0.2698	0.2176	1.7416
498	1776691760.328	-0.2726	0.2183	1.7337
499	1776691760.356	-0.2792	0.2197	1.7324
500	1776691760.388	-0.2841	0.2202	1.7316
501	1776691760.419	-0.2854	0.2207	1.7251
502	1776691760.449	-0.286	0.2201	1.7243
503	1776691760.48	-0.2854	0.2195	1.718
504	1776691760.512	-0.2864	0.2187	1.7157
505	1776691760.543	-0.2848	0.2192	1.7127
506	1776691760.577	-0.2857	0.2184	1.7077
507	1776691760.607	-0.2859	0.2184	1.7046
508	1776691760.638	-0.2846	0.2186	1.7027
509	1776691760.677	-0.286	0.2184	1.7013
510	1776691760.701	-0.2873	0.218	1.6996
511	1776691760.733	-0.2873	0.2185	1.6961
512	1776691760.764	-0.2879	0.2183	1.6935
513	1776691760.796	-0.2867	0.2186	1.6873
514	1776691760.827	-0.2856	0.2186	1.6801
515	1776691760.874	-0.2848	0.219	1.6762
516	1776691760.901	-0.2849	0.2191	1.6757
517	1776691760.934	-0.2844	0.2179	1.6728
518	1776691760.966	-0.2862	0.2189	1.6705
