Frame	Temps(s)	X(m)	Y(m)	Z(m)
182	1776692049.427	-0.8854	0.2269	2.6154
183	1776692049.459	-0.8878	0.2268	2.6119
184	1776692049.49	-0.8872	0.2268	2.6127
185	1776692049.522	-0.8952	0.2278	2.6017
186	1776692049.54	-0.8929	0.2268	2.6058
187	1776692049.577	-0.8902	0.2265	2.6101
188	1776692049.6	-0.8923	0.2267	2.607
189	1776692049.632	-0.8939	0.2274	2.6041
190	1776692049.663	-0.8903	0.227	2.6088
191	1776692049.702	-0.8917	0.2269	2.6071
192	1776692049.732	-0.8913	0.2271	2.6073
193	1776692049.757	-0.8905	0.2263	2.6083
194	1776692049.78	-0.8914	0.2267	2.6067
195	1776692049.817	-0.8929	0.2267	2.6048
196	1776692049.864	-0.8932	0.2269	2.6045
197	1776692049.884	-0.8898	0.2264	2.609
198	1776692049.94	-0.8901	0.2268	2.6091
199	1776692049.962	-0.8911	0.2272	2.6073
200	1776692049.993	-0.8932	0.2272	2.6055
201	1776692050.028	-0.8936	0.2267	2.6045
202	1776692050.063	-0.8933	0.2269	2.6053
203	1776692050.088	-0.8967	0.2271	2.6001
204	1776692050.119	-0.8931	0.227	2.6053
205	1776692050.151	-0.8956	0.2269	2.6013
206	1776692050.183	-0.8942	0.2272	2.6031
207	1776692050.23	-0.8909	0.2263	2.6073
208	1776692050.246	-0.8924	0.2265	2.6053
209	1776692050.277	-0.8887	0.2261	2.6106
210	1776692050.309	-0.886	0.2253	2.6149
211	1776692050.341	-0.8917	0.2264	2.6067
212	1776692050.357	-0.8906	0.2257	2.6075
213	1776692050.39	-0.889	0.2258	2.6108
214	1776692050.422	-0.8904	0.2261	2.6085
215	1776692050.453	-0.891	0.2262	2.6074
216	1776692050.467	-0.8944	0.2267	2.6021
217	1776692050.498	-0.8851	0.225	2.6167
218	1776692050.53	-0.8902	0.2252	2.6103
219	1776692050.561	-0.8909	0.2258	2.6088
220	1776692050.593	-0.8894	0.2259	2.6103
221	1776692050.642	-0.8909	0.2261	2.6082
222	1776692050.657	-0.8947	0.2263	2.6029
223	1776692050.687	-0.8904	0.2255	2.6085
224	1776692050.728	-0.8903	0.2257	2.609
225	1776692050.75	-0.8926	0.2265	2.6062
226	1776692050.793	-0.8954	0.2269	2.6018
227	1776692050.823	-0.8941	0.2269	2.6048
228	1776692050.854	-0.8921	0.2264	2.6077
229	1776692050.892	-0.8908	0.2258	2.6089
230	1776692050.927	-0.8902	0.2258	2.6095
231	1776692050.955	-0.8952	0.2268	2.6025
232	1776692050.987	-0.8902	0.2259	2.6092
233	1776692051.018	-0.8913	0.226	2.6082
234	1776692051.05	-0.8914	0.2261	2.6082
235	1776692051.087	-0.8947	0.2264	2.6027
236	1776692051.119	-0.8991	0.2275	2.5973
237	1776692051.154	-0.894	0.2267	2.6035
238	1776692051.182	-0.8964	0.2272	2.601
239	1776692051.213	-0.8945	0.2267	2.6041
240	1776692051.244	-0.8939	0.2259	2.6048
241	1776692051.276	-0.8895	0.2257	2.6103
242	1776692051.308	-0.8886	0.2258	2.6119
243	1776692051.339	-0.8926	0.2264	2.6059
244	1776692051.373	-0.8938	0.2265	2.6038
245	1776692051.403	-0.8928	0.2266	2.6062
246	1776692051.445	-0.8947	0.2268	2.6032
247	1776692051.466	-0.8949	0.2262	2.6021
248	1776692051.509	-0.8939	0.2268	2.6027
249	1776692051.541	-0.8941	0.2258	2.6028
250	1776692051.573	-0.8987	0.2271	2.5956
251	1776692051.608	-0.9003	0.2259	2.5942
252	1776692051.644	-0.9012	0.2261	2.5916
253	1776692051.671	-0.9184	0.2291	2.5672
254	1776692051.703	-0.9279	0.2309	2.5529
255	1776692051.75	-0.9159	0.2285	2.5676
256	1776692051.782	-0.9131	0.2287	2.5723
257	1776692051.813	-0.912	0.228	2.5718
258	1776692051.829	-0.9088	0.227	2.575
259	1776692051.859	-0.921	0.2278	2.5578
260	1776692051.891	-0.9164	0.2276	2.5622
261	1776692051.938	-0.9365	0.2311	2.5331
262	1776692051.957	-0.9227	0.2286	2.5497
263	1776692052.002	-0.9255	0.2285	2.5457
264	1776692052.034	-0.93	0.2292	2.5377
265	1776692052.065	-0.9391	0.2281	2.5292
266	1776692052.096	-0.9388	0.2271	2.5279
267	1776692052.129	-0.9488	0.229	2.5128
268	1776692052.159	-0.9467	0.2285	2.5143
269	1776692052.19	-0.9499	0.2281	2.5094
270	1776692052.229	-0.953	0.2294	2.5048
271	1776692052.253	-0.9518	0.2287	2.5054
272	1776692052.285	-0.952	0.2278	2.5047
273	1776692052.316	-0.9541	0.2263	2.5006
274	1776692052.347	-0.9514	0.2254	2.5036
275	1776692052.391	-0.9529	0.2257	2.5002
276	1776692052.423	-0.9573	0.2247	2.4935
277	1776692052.454	-0.9549	0.224	2.4948
278	1776692052.489	-0.9583	0.2249	2.4883
279	1776692052.52	-0.9631	0.2263	2.4799
280	1776692052.552	-0.9661	0.2249	2.4741
281	1776692052.58	-0.9665	0.2251	2.4725
282	1776692052.599	-0.9701	0.2246	2.4673
283	1776692052.645	-0.9823	0.2291	2.4495
284	1776692052.677	-0.9736	0.2241	2.4585
285	1776692052.709	-0.9784	0.2247	2.4509
286	1776692052.74	-0.9855	0.2252	2.4394
287	1776692052.778	-0.9775	0.2239	2.4503
288	1776692052.803	-0.9826	0.2246	2.4435
289	1776692052.833	-0.98	0.2232	2.4467
290	1776692052.882	-0.9872	0.2256	2.436
291	1776692052.911	-0.989	0.227	2.4327
292	1776692052.949	-0.9916	0.2273	2.429
293	1776692052.984	-0.9933	0.2277	2.4267
294	1776692053.027	-1.0074	0.2286	2.4075
295	1776692053.052	-1.0092	0.2272	2.4041
296	1776692053.083	-1.01	0.228	2.4031
297	1776692053.115	-1.0122	0.2285	2.4004
298	1776692053.147	-1.0106	0.2289	2.4028
299	1776692053.189	-1.014	0.2289	2.3959
300	1776692053.21	-1.0142	0.2291	2.3883
301	1776692053.241	-1.017	0.2275	2.3852
302	1776692053.273	-1.0147	0.2262	2.3816
303	1776692053.305	-1.0157	0.2253	2.3793
304	1776692053.336	-1.0136	0.2246	2.3836
305	1776692053.367	-1.0126	0.224	2.383
306	1776692053.399	-1.0158	0.2247	2.3753
307	1776692053.431	-1.006	0.222	2.3874
308	1776692053.466	-1.015	0.224	2.3734
309	1776692053.494	-1.0239	0.2249	2.362
310	1776692053.531	-1.0205	0.225	2.3654
311	1776692053.558	-1.018	0.224	2.365
312	1776692053.592	-1.0226	0.2243	2.365
313	1776692053.622	-1.0243	0.2233	2.3562
314	1776692053.655	-1.0255	0.224	2.3558
315	1776692053.684	-1.0304	0.2249	2.352
316	1776692053.716	-1.0198	0.2224	2.3661
317	1776692053.764	-1.0273	0.2244	2.3545
318	1776692053.796	-1.0414	0.2274	2.3351
319	1776692053.835	-1.0425	0.227	2.3328
320	1776692053.876	-1.0453	0.2261	2.3289
321	1776692053.91	-1.0476	0.2271	2.3264
322	1776692053.94	-1.0461	0.2271	2.3273
